,Model,Managment,Discount,Metric,Result
2,RF,HighGrade,DR1,times,1.0390145350941695
3,RF,HighGrade,DR1,salvage,-586.8845263429835
4,RF,HighGrade,DR1,no_salvage,-544.412306842295
5,RF,HighGrade,DR1,optimal,-588.237931945218
0,RF,HighGrade,DR3,F,-0.33756189042760715
1,RF,HighGrade,DR3,G,1.827900805268817
2,RF,HighGrade,DR3,times,1.827900805268817
3,RF,HighGrade,DR3,salvage,-514.9367494740898
4,RF,HighGrade,DR3,no_salvage,-494.6500277803028
5,RF,HighGrade,DR3,optimal,-519.7097059488348
0,RF,HighGrade,DR5,F,-0.26747230629469193
1,RF,HighGrade,DR5,G,2.6808258433304673
2,RF,HighGrade,DR5,times,2.6808258433304673
3,RF,HighGrade,DR5,salvage,-473.3418221060553
4,RF,HighGrade,DR5,no_salvage,-467.6410931972025
5,RF,HighGrade,DR5,optimal,-482.8162674276839
